time;protocol;ip src;src port;ip dst;dst port;flags;seq;ack;options;length
07:48:21.280504;IP;164.100.61.151;1553;52.94.228.167;http;[S];600469367:600469487;;;120
07:48:21.280520;IP;164.100.61.151;1554;52.94.228.167;http;[S];1580354575:1580354695;;;120
07:48:21.280537;IP;164.100.61.151;1555;52.94.228.167;http;[S];48856555:48856675;;;120
07:48:21.280553;IP;164.100.61.151;1556;52.94.228.167;http;[S];467369139:467369259;;;120
07:48:21.280570;IP;164.100.61.151;1557;52.94.228.167;http;[S];776545465:776545585;;;120
07:48:21.280586;IP;164.100.61.151;1558;52.94.228.167;http;[S];1068883539:1068883659;;;120
07:48:21.280603;IP;164.100.61.151;1559;52.94.228.167;http;[S];1370938353:1370938473;;;120
07:48:21.280620;IP;164.100.61.151;1560;52.94.228.167;http;[S];1229118604:1229118724;;;120
07:48:21.280636;IP;164.100.61.151;1561;52.94.228.167;http;[S];1701550858:1701550978;;;120
07:48:21.280653;IP;164.100.61.151;1562;52.94.228.167;http;[S];1117024035:1117024155;;;120
07:48:21.280678;IP;164.100.61.151;1563;52.94.228.167;http;[S];1154693978:1154694098;;;120
07:48:21.280694;IP;164.100.61.151;1564;52.94.228.167;http;[S];154142812:154142932;;;120
07:48:21.280711;IP;164.100.61.151;1565;52.94.228.167;http;[S];1013125381:1013125501;;;120
07:48:21.280727;IP;164.100.61.151;1566;52.94.228.167;http;[S];103935281:103935401;;;120
07:48:21.280744;IP;164.100.61.151;1567;52.94.228.167;http;[S];1440384373:1440384493;;;120
07:48:21.280761;IP;164.100.61.151;1568;52.94.228.167;http;[S];1125013285:1125013405;;;120
07:48:21.280777;IP;164.100.61.151;1569;52.94.228.167;http;[S];1325282013:1325282133;;;120
07:48:21.280793;IP;164.100.61.151;1570;52.94.228.167;http;[S];641306065:641306185;;;120
07:48:21.280810;IP;164.100.61.151;1571;52.94.228.167;http;[S];904511639:904511759;;;120
07:48:21.280833;IP;164.100.61.151;1572;52.94.228.167;http;[S];412348735:412348855;;;120
07:48:21.280865;IP;164.100.61.151;1573;52.94.228.167;http;[S];1243747432:1243747552;;;120
07:48:21.280886;IP;164.100.61.151;1574;52.94.228.167;http;[S];2019680610:2019680730;;;120
07:48:21.280905;IP;164.100.61.151;1575;52.94.228.167;http;[S];1601336629:1601336749;;;120
07:48:21.280924;IP;164.100.61.151;1576;52.94.228.167;http;[S];339769011:339769131;;;120
07:48:21.280944;IP;164.100.61.151;1577;52.94.228.167;http;[S];388471593:388471713;;;120
07:48:21.280963;IP;164.100.61.151;1578;52.94.228.167;http;[S];1020176841:1020176961;;;120
07:48:21.280983;IP;164.100.61.151;1579;52.94.228.167;http;[S];1331348232:1331348352;;;120
07:48:21.281002;IP;164.100.61.151;1580;52.94.228.167;http;[S];867141651:867141771;;;120
07:48:21.281019;IP;164.100.61.151;1581;52.94.228.167;http;[S];1931281594:1931281714;;;120
07:48:21.281035;IP;164.100.61.151;1582;52.94.228.167;http;[S];278145238:278145358;;;120
07:48:21.281052;IP;164.100.61.151;1583;52.94.228.167;http;[S];1170548853:1170548973;;;120
07:48:21.281070;IP;164.100.61.151;1584;52.94.228.167;http;[S];913994509:913994629;;;120
07:48:21.281098;IP;164.100.61.151;1585;52.94.228.167;http;[S];1088836781:1088836901;;;120
07:48:21.281119;IP;164.100.61.151;1586;52.94.228.167;http;[S];1743932226:1743932346;;;120
07:48:21.281136;IP;164.100.61.151;1587;52.94.228.167;http;[S];1199166333:1199166453;;;120
07:48:21.281152;IP;164.100.61.151;1588;52.94.228.167;http;[S];231084569:231084689;;;120
07:48:21.281168;IP;164.100.61.151;1589;52.94.228.167;http;[S];2056054121:2056054241;;;120
07:48:21.281185;IP;164.100.61.151;1590;52.94.228.167;http;[S];1602562397:1602562517;;;120
07:48:21.281201;IP;164.100.61.151;1591;52.94.228.167;http;[S];99728003:99728123;;;120
07:48:21.281222;IP;164.100.61.151;1592;52.94.228.167;http;[S];1396585445:1396585565;;;120
07:48:21.281248;IP;164.100.61.151;1593;52.94.228.167;http;[S];167707814:167707934;;;120
07:48:21.281265;IP;164.100.61.151;1594;52.94.228.167;http;[S];1862756384:1862756504;;;120
07:48:21.281281;IP;164.100.61.151;1595;52.94.228.167;http;[S];193423024:193423144;;;120
07:48:21.281297;IP;164.100.61.151;1596;52.94.228.167;http;[S];467800410:467800530;;;120
07:48:21.281314;IP;164.100.61.151;1597;52.94.228.167;http;[S];642340176:642340296;;;120
07:48:21.281330;IP;164.100.61.151;1598;52.94.228.167;http;[S];9943047:9943167;;;120
07:48:21.281347;IP;164.100.61.151;1599;52.94.228.167;http;[S];1843105958:1843106078;;;120
07:48:21.281363;IP;164.100.61.151;1600;52.94.228.167;http;[S];1024659977:1024660097;;;120
07:48:21.281380;IP;164.100.61.151;1601;52.94.228.167;http;[S];343394818:343394938;;;120
07:48:21.281397;IP;164.100.61.151;1602;52.94.228.167;http;[S];703822120:703822240;;;120
07:48:21.281413;IP;164.100.61.151;1603;52.94.228.167;http;[S];370806971:370807091;;;120
07:48:21.281430;IP;164.100.61.151;1604;52.94.228.167;http;[S];588096803:588096923;;;120
07:48:21.281446;IP;164.100.61.151;1605;52.94.228.167;http;[S];1227888577:1227888697;;;120
07:48:21.281463;IP;164.100.61.151;1606;52.94.228.167;http;[S];1744035275:1744035395;;;120
07:48:21.281479;IP;164.100.61.151;1607;52.94.228.167;http;[S];328822260:328822380;;;120
07:48:21.281495;IP;164.100.61.151;1608;52.94.228.167;http;[S];1665688421:1665688541;;;120
07:48:21.281512;IP;164.100.61.151;1609;52.94.228.167;http;[S];332359656:332359776;;;120
07:48:21.281528;IP;164.100.61.151;1610;52.94.228.167;http;[S];1955151493:1955151613;;;120
07:48:21.281544;IP;164.100.61.151;1611;52.94.228.167;http;[S];958754639:958754759;;;120
07:48:21.281561;IP;164.100.61.151;1612;52.94.228.167;http;[S];1421934337:1421934457;;;120
07:48:21.281577;IP;164.100.61.151;1613;52.94.228.167;http;[S];1475352176:1475352296;;;120
07:48:21.281594;IP;164.100.61.151;1614;52.94.228.167;http;[S];142073363:142073483;;;120
07:48:21.281610;IP;164.100.61.151;1615;52.94.228.167;http;[S];483576053:483576173;;;120
07:48:21.281626;IP;164.100.61.151;1616;52.94.228.167;http;[S];1441213381:1441213501;;;120
07:48:21.281648;IP;164.100.61.151;1617;52.94.228.167;http;[S];463950277:463950397;;;120
07:48:21.281666;IP;164.100.61.151;1618;52.94.228.167;http;[S];898436721:898436841;;;120
07:48:21.281683;IP;164.100.61.151;1619;52.94.228.167;http;[S];828273636:828273756;;;120
07:48:21.281699;IP;164.100.61.151;1620;52.94.228.167;http;[S];162031495:162031615;;;120
07:48:21.281716;IP;164.100.61.151;1621;52.94.228.167;http;[S];502272694:502272814;;;120
07:48:21.281733;IP;164.100.61.151;1622;52.94.228.167;http;[S];1948725238:1948725358;;;120
07:48:21.281749;IP;164.100.61.151;1623;52.94.228.167;http;[S];1603007276:1603007396;;;120
07:48:21.281766;IP;164.100.61.151;1624;52.94.228.167;http;[S];1780310271:1780310391;;;120
07:48:21.281793;IP;164.100.61.151;1625;52.94.228.167;http;[S];48423310:48423430;;;120
07:48:21.281813;IP;164.100.61.151;1626;52.94.228.167;http;[S];895736715:895736835;;;120
07:48:21.281832;IP;164.100.61.151;1627;52.94.228.167;http;[S];495083598:495083718;;;120
07:48:21.281851;IP;164.100.61.151;1628;52.94.228.167;http;[S];1636287785:1636287905;;;120
07:48:21.281870;IP;164.100.61.151;1629;52.94.228.167;http;[S];34325026:34325146;;;120
07:48:21.281889;IP;164.100.61.151;1630;52.94.228.167;http;[S];1827268575:1827268695;;;120
07:48:21.281909;IP;164.100.61.151;1631;52.94.228.167;http;[S];1597327466:1597327586;;;120
07:48:21.281928;IP;164.100.61.151;1632;52.94.228.167;http;[S];1835380165:1835380285;;;120
07:48:21.281947;IP;164.100.61.151;1633;52.94.228.167;http;[S];1097765143:1097765263;;;120
07:48:21.281967;IP;164.100.61.151;1634;52.94.228.167;http;[S];1902773021:1902773141;;;120
07:48:21.281983;IP;164.100.61.151;1635;52.94.228.167;http;[S];543533306:543533426;;;120
07:48:21.281999;IP;164.100.61.151;1636;52.94.228.167;http;[S];395418222:395418342;;;120
07:48:21.282016;IP;164.100.61.151;1637;52.94.228.167;http;[S];1054979396:1054979516;;;120
07:48:21.282032;IP;164.100.61.151;1638;52.94.228.167;http;[S];703555441:703555561;;;120
07:48:21.282048;IP;164.100.61.151;1639;52.94.228.167;http;[S];1006834778:1006834898;;;120
07:48:21.282065;IP;164.100.61.151;1640;52.94.228.167;http;[S];149693416:149693536;;;120
07:48:21.282081;IP;164.100.61.151;1641;52.94.228.167;http;[S];87282847:87282967;;;120
07:48:21.282098;IP;164.100.61.151;1642;52.94.228.167;http;[S];1778357712:1778357832;;;120
07:48:21.282114;IP;164.100.61.151;1643;52.94.228.167;http;[S];202401404:202401524;;;120
07:48:21.282131;IP;164.100.61.151;1644;52.94.228.167;http;[S];1129733394:1129733514;;;120
07:48:21.282147;IP;164.100.61.151;datametrics;52.94.228.167;http;[S];407459751:407459871;;;120
07:48:21.282163;IP;164.100.61.151;sa-msg-port;52.94.228.167;http;[S];666640175:666640295;;;120
07:48:21.282180;IP;164.100.61.151;1647;52.94.228.167;http;[S];1201004400:1201004520;;;120
07:48:21.282196;IP;164.100.61.151;1648;52.94.228.167;http;[S];327019055:327019175;;;120
07:48:21.282213;IP;164.100.61.151;kermit;52.94.228.167;http;[S];1090604509:1090604629;;;120
07:48:21.282229;IP;164.100.61.151;1650;52.94.228.167;http;[S];25067104:25067224;;;120
07:48:21.282245;IP;164.100.61.151;1651;52.94.228.167;http;[S];1587405629:1587405749;;;120
07:48:21.282262;IP;164.100.61.151;1652;52.94.228.167;http;[S];1984925484:1984925604;;;120
07:48:21.282278;IP;164.100.61.151;1653;52.94.228.167;http;[S];1018868259:1018868379;;;120
07:48:21.282294;IP;164.100.61.151;1654;52.94.228.167;http;[S];292241231:292241351;;;120
07:48:21.282311;IP;164.100.61.151;1655;52.94.228.167;http;[S];1585354670:1585354790;;;120
07:48:21.282327;IP;164.100.61.151;1656;52.94.228.167;http;[S];651664591:651664711;;;120
07:48:21.282344;IP;164.100.61.151;1657;52.94.228.167;http;[S];534391357:534391477;;;120
07:48:21.282360;IP;164.100.61.151;1658;52.94.228.167;http;[S];1728618566:1728618686;;;120
07:48:21.282376;IP;164.100.61.151;1659;52.94.228.167;http;[S];1575666708:1575666828;;;120
07:48:21.282393;IP;164.100.61.151;1660;52.94.228.167;http;[S];109860809:109860929;;;120
07:48:21.282409;IP;164.100.61.151;1661;52.94.228.167;http;[S];1305953091:1305953211;;;120
07:48:21.282425;IP;164.100.61.151;1662;52.94.228.167;http;[S];318820078:318820198;;;120
07:48:21.282442;IP;164.100.61.151;1663;52.94.228.167;http;[S];1131325583:1131325703;;;120
07:48:21.282458;IP;164.100.61.151;1664;52.94.228.167;http;[S];546267452:546267572;;;120
07:48:21.282475;IP;164.100.61.151;1665;52.94.228.167;http;[S];466418708:466418828;;;120
07:48:21.282491;IP;164.100.61.151;1666;52.94.228.167;http;[S];1435312657:1435312777;;;120
07:48:21.282507;IP;164.100.61.151;1667;52.94.228.167;http;[S];1700883872:1700883992;;;120
07:48:21.282524;IP;164.100.61.151;1668;52.94.228.167;http;[S];170628102:170628222;;;120
07:48:21.282540;IP;164.100.61.151;1669;52.94.228.167;http;[S];1843068084:1843068204;;;120
07:48:21.282564;IP;164.100.61.151;1670;52.94.228.167;http;[S];1282587654:1282587774;;;120
07:48:21.282581;IP;164.100.61.151;1671;52.94.228.167;http;[S];786363874:786363994;;;120
07:48:21.282598;IP;164.100.61.151;1672;52.94.228.167;http;[S];441679593:441679713;;;120
07:48:21.282614;IP;164.100.61.151;1673;52.94.228.167;http;[S];2026892523:2026892643;;;120
07:48:21.282631;IP;164.100.61.151;1674;52.94.228.167;http;[S];1449436772:1449436892;;;120
07:48:21.282647;IP;164.100.61.151;1675;52.94.228.167;http;[S];1986529383:1986529503;;;120
07:48:21.282664;IP;164.100.61.151;1676;52.94.228.167;http;[S];1898146458:1898146578;;;120
07:48:21.282680;IP;164.100.61.151;groupwise;52.94.228.167;http;[S];1850928172:1850928292;;;120
07:48:21.282704;IP;164.100.61.151;1678;52.94.228.167;http;[S];898395278:898395398;;;120
07:48:21.282724;IP;164.100.61.151;1679;52.94.228.167;http;[S];1515050479:1515050599;;;120
07:48:21.282744;IP;164.100.61.151;1680;52.94.228.167;http;[S];496530987:496531107;;;120
07:48:21.282763;IP;164.100.61.151;1681;52.94.228.167;http;[S];15387556:15387676;;;120
07:48:21.282782;IP;164.100.61.151;1682;52.94.228.167;http;[S];1659025814:1659025934;;;120
07:48:21.282802;IP;164.100.61.151;1683;52.94.228.167;http;[S];969920302:969920422;;;120
07:48:21.284860;IP;164.100.61.151;1684;52.94.228.167;http;[S];1114422927:1114423047;;;120
07:48:21.284892;IP;164.100.61.151;1685;52.94.228.167;http;[S];237291273:237291393;;;120
07:48:21.284915;IP;164.100.61.151;1686;52.94.228.167;http;[S];2071363658:2071363778;;;120
07:48:21.284935;IP;164.100.61.151;1687;52.94.228.167;http;[S];825853728:825853848;;;120
07:48:21.284955;IP;164.100.61.151;1688;52.94.228.167;http;[S];1330120136:1330120256;;;120
07:48:21.284972;IP;164.100.61.151;1689;52.94.228.167;http;[S];1017814154:1017814274;;;120
07:48:21.284988;IP;164.100.61.151;1690;52.94.228.167;http;[S];1464602489:1464602609;;;120
07:48:21.285004;IP;164.100.61.151;1691;52.94.228.167;http;[S];632862302:632862422;;;120
07:48:21.285021;IP;164.100.61.151;1692;52.94.228.167;http;[S];1976030334:1976030454;;;120
