time;protocol;ip src;src port;ip dst;dst port;flags;seq;ack;options;length
11:42:31.745241;IP;192.168.190.130;50245;BP-Linux8;;[.];;3189;options|nop,nop,TS|val|377979759|ecr|102924002;0
11:42:32.027985;IP;BP-Linux8;40686;mauves.univ-st-etienne.fr;;[P.];674:1490;28211;options|nop,nop,TS|val|102924077|ecr|172357041;816
11:42:32.074139;IP;mauves.univ-st-etienne.fr;https;BP-Linux8;;[.];;1490;options|nop,nop,TS|val|172357360|ecr|102924077;0
11:42:32.089242;IP;BP-Linux8;48753;ns1.lan.rt;;;;;;
11:42:32.089258;IP;BP-Linux8;48753;ns1.lan.rt;;;;;;
11:42:32.089494;IP;BP-Linux8;33251;par21s20-in-f14.1e100.net;;[P.];784:1191;25781;options|nop,nop,TS|val|102924093|ecr|1077961842;407
11:42:32.089635;IP;BP-Linux8;33251;par21s20-in-f14.1e100.net;;[P.];1191:1229;25781;options|nop,nop,TS|val|102924093|ecr|1077961842;38
11:42:32.090165;IP;ns1.lan.rt;domain;BP-Linux8;;;;;;
11:42:32.090283;IP;ns1.lan.rt;domain;BP-Linux8;;;;;;
11:42:32.095886;IP;mauves.univ-st-etienne.fr;https;BP-Linux8;;[P.];28211:28448;1490;options|nop,nop,TS|val|172357365|ecr|102924077;237
11:42:32.095897;IP;BP-Linux8;40686;mauves.univ-st-etienne.fr;;[.];;28448;options|nop,nop,TS|val|102924094|ecr|172357365;0
11:42:32.101399;IP;par21s20-in-f14.1e100.net;https;BP-Linux8;;[.];;1191;options|nop,nop,TS|val|1077962847|ecr|102924093;0
11:42:32.101510;IP;par21s20-in-f14.1e100.net;https;BP-Linux8;;[.];;1229;options|nop,nop,TS|val|1077962847|ecr|102924093;0
