ADE60323032312d323032325354455449454e4e452d31313237372d302d32 ; 2021-12-06 ; 09:00 ; 2:00 ; TP ; R101c ; G_019 ; MARTINI PIERRE ; B1
ADE60323032312d323032325354455449454e4e452d31323137342d302d30 ; 2021-10-05 ; 08:00 ; 2:00 ; vide ; R103 ; G_011_AMPHI ; CHAMBERT CHRISTOPHE ; vide
ADE60323032312d323032325354455449454e4e452d31383131352d302d33 ; 2021-11-18 ; 09:00 ; 2:00 ; TD ; R112 ; D_024 ; NEJJAR NABIH ; A
ADE60323032312d323032325354455449454e4e452d31373638312d302d3132 ; 2021-12-10 ; 14:00 ; 1:00 ; TP ; SAE12 ; D_110 ; vide ; A1
ADE60323032312d323032325354455449454e4e452d31363633312d302d3133 ; 2021-11-19 ; 09:00 ; 2:00 ; TP ; R107 ; G_004 ; LACAN DAVID ; B1
ADE60323032312d323032325354455449454e4e452d31383131352d302d30 ; 2021-09-22 ; 06:00 ; 2:00 ; TD ; R112 ; D_032 ; NEJJAR NABIH ; A
ADE60323032312d323032325354455449454e4e452d31363832322d302d30 ; 2021-11-12 ; 13:00 ; 2:00 ; TP ; R101c ; G_019 ; MARTINI PIERRE ; A2
ADE60323032312d323032325354455449454e4e452d31343536322d302d33 ; 2021-09-24 ; 14:00 ; 2:00 ; TD ; R101b ; G_012 ; CHAMBERT CHRISTOPHE ; B
ADE60323032312d323032325354455449454e4e452d31363533342d302d32 ; 2021-09-17 ; 06:00 ; 1:00 ; TP ; SAE11 SUIVI ; G_019 ; BIARD MATHIEU ; B1
ADE60323032312d323032325354455449454e4e452d33373636392d302d30 ; 2021-11-12 ; 15:00 ; 2:00 ; TP ; MOOC RECHERCHE DOCUMENTAIRE ; G_007 ; vide ; B2
ADE60323032312d323032325354455449454e4e452d31363631392d302d32 ; 2021-11-25 ; 07:00 ; 2:00 ; TP ; R107 ; G_019 ; MATICHARD PIERRE-JEAN ; A2
ADE60323032312d323032325354455449454e4e452d32303230332d302d37 ; 2021-12-14 ; 09:00 ; 1:00 ; TP ; SAE12 ; G_010 ; vide ; B1
ADE60323032312d323032325354455449454e4e452d31363235372d302d32 ; 2021-09-28 ; 12:00 ; 2:00 ; TP ; R108 (TP) PJM ; G_012 ; MATICHARD PIERRE-JEAN ; A2
ADE60323032312d323032325354455449454e4e452d33303531372d302d30 ; 2021-12-14 ; 09:00 ; 1:00 ; TP ; SAE14 ; G_002 ; vide ; A1
ADE60323032312d323032325354455449454e4e452d343639332d302d38 ; 2021-10-27 ; 14:00 ; 2:00 ; TD ; R111 ; D_032 ; LACOMBE SYLVIE ; B
ADE60323032312d323032325354455449454e4e452d33313037302d342d30 ; 2021-10-21 ; 12:00 ; 2:00 ; vide ; Soutien RT1-RT2 (Non Obligatoire) ; G_019 ; vide ; vide
ADE60323032312d323032325354455449454e4e452d32373833342d302d3131 ; 2021-11-29 ; 08:00 ; 1:00 ; TP ; SAE13 ; G_007 ; vide ; B2
ADE60323032312d323032325354455449454e4e452d383339342d302d32 ; 2021-11-17 ; 15:00 ; 2:00 ; TP ; R113 ; G_007 ; GRIZONNET YANN ; B1
ADE60323032312d323032325354455449454e4e452d31333637372d302d33 ; 2021-10-13 ; 12:00 ; 2:00 ; TD ; R113 ; D_032 ; GRIZONNET YANN ; B
ADE60323032312d323032325354455449454e4e452d33303532352d302d30 ; 2021-12-09 ; 09:00 ; 1:00 ; TP ; SAE14 ; G_002 ; vide ; B1
ADE60323032312d323032325354455449454e4e452d33353434302d302d3132 ; 2021-12-13 ; 08:00 ; 1:00 ; TP ; SAE15 ; G_004 ; vide ; A2
ADE60323032312d323032325354455449454e4e452d3431382d302d30 ; 2021-10-08 ; 12:00 ; 2:00 ; vide ; R114 ; G_011_AMPHI ; ANDRE NOEL ; vide
ADE60323032312d323032325354455449454e4e452d31363532312d302d33 ; 2021-09-15 ; 08:00 ; 1:00 ; TP ; SAE11 ; G_019 ; vide ; A2
ADE60323032312d323032325354455449454e4e452d32303230332d302d35 ; 2021-12-15 ; 07:00 ; 1:00 ; TP ; SAE12 ; G_002 ; vide ; B1
ADE60323032312d323032325354455449454e4e452d31363633312d302d34 ; 2021-10-15 ; 06:00 ; 2:00 ; TP ; R107 ; D_110 ; LACAN DAVID ; B1
ADE60323032312d323032325354455449454e4e452d31343633312d302d36 ; 2021-12-08 ; 15:00 ; 2:00 ; TP ; R104 ; G_004 ; CORBIER CHRISTOPHE ; A2
ADE60323032312d323032325354455449454e4e452d31343630322d302d30 ; 2021-09-20 ; 14:00 ; 2:00 ; TD ; R106 ; D_032 ; HEYRAUD CHRISTOPHE ; B
ADE60323032312d323032325354455449454e4e452d31363235362d302d35 ; 2021-09-22 ; 14:00 ; 2:00 ; TP ; R108 (TP) PM ; G_012 ; MARTINI PIERRE ; A1
ADE60323032312d323032325354455449454e4e452d31343237312d302d31 ; 2021-11-22 ; 15:00 ; 2:00 ; TP ; R113 ; D_110 ; BIARD MATHIEU ; A2
ADE60323032312d323032325354455449454e4e452d3132372d302d36 ; 2021-11-09 ; 09:00 ; 2:00 ; TD ; R114 ; G_011_AMPHI ; ANDRE NOEL ; B
ADE60323032312d323032325354455449454e4e452d33313037302d332d30 ; 2021-10-14 ; 12:00 ; 2:00 ; vide ; Soutien RT1-RT2 (Non Obligatoire) ; G_019 ; vide ; vide
ADE60323032312d323032325354455449454e4e452d31363631392d302d31 ; 2021-09-24 ; 08:00 ; 2:00 ; TP ; R107 ; G_019 ; MATICHARD PIERRE-JEAN ; A2
ADE60323032312d323032325354455449454e4e452d343639332d302d39 ; 2021-11-10 ; 13:00 ; 2:00 ; TD ; R111 ; G_016 ; LACOMBE SYLVIE ; B
ADE60323032312d323032325354455449454e4e452d34363933362d302d31 ; 2021-10-01 ; 14:00 ; 2:00 ; TP ; R115 ; D_110 ; WANSI NTOUKAM ERIC ; A1
ADE60323032312d323032325354455449454e4e452d31363831372d302d30 ; 2021-11-12 ; 13:00 ; 2:00 ; TP ; R101c ; G_012 ; REBAI AXEL ; A1
ADE60323032312d323032325354455449454e4e452d33303531372d302d36 ; 2021-12-14 ; 10:00 ; 1:00 ; TP ; SAE14 ; G_002 ; vide ; A1
ADE60323032312d323032325354455449454e4e452d31373638312d302d34 ; 2021-12-15 ; 13:00 ; 1:00 ; TP ; SAE12 ; G_007 ; vide ; A1
ADE60323032312d323032325354455449454e4e452d33303532322d302d30 ; 2021-12-10 ; 14:00 ; 1:00 ; TP ; SAE14 ; G_007 ; vide ; A2
ADE60323032312d323032325354455449454e4e452d31353039342d302d32 ; 2021-09-13 ; 12:00 ; 2:00 ; TD ; R107 ; G_012 ; BIARD MATHIEU ; B
ADE60323032312d323032325354455449454e4e452d3332322d302d31 ; 2021-11-17 ; 07:00 ; 3:00 ; TP ; R105 ; G_007 ; CORBIER CHRISTOPHE ; B2
ADE60323032312d323032325354455449454e4e452d393631342d302d31 ; 2021-11-19 ; 07:00 ; 2:00 ; TP ; R113 ; D_110 ; GRIZONNET YANN ; B2
ADE60323032312d323032325354455449454e4e452d31343834382d302d31 ; 2021-12-17 ; 09:00 ; 2:00 ; TP ; R114 ; G_019 ; ANDRE NOEL ; A2
